method,clean_acc,clean_ap,robust_avg_acc,robust_avg_ap,worst_acc,worst_ap,acc_drop,ap_drop
CNNDetection,74.8281,87.6366,71.1972,79.6724,64.4122,71.4464,3.6309,7.9642
CO-SPY,82.0125,96.7153,78.1923,90.0630,61.7603,69.7359,3.8202,6.6523
FreqNet,69.2656,80.0886,60.5701,62.8221,47.9021,42.1130,8.6956,17.2665
RIDER,87.0663,96.3301,83.1113,90.7523,77.5949,86.0809,3.9550,5.5779
IAPL,83.1112,90.8662,61.4731,67.0680,51.1412,52.7188,21.6382,23.7982
UniFD,78.0125,88.1592,73.7151,80.9994,67.1159,72.4308,4.2974,7.1598
